sourceId	targetId
Node1	"Annotation Cluster 1"
Node2	"Annotation Cluster 1"
Node3	"Annotation Cluster 1"
Node4	"Annotation Cluster 1"
Node5	"Annotation Cluster 1"
Node6	"Annotation Cluster 2"
Node7	"Annotation Cluster 2"
Node8	"Annotation Cluster 2"
Node9	"Annotation Cluster 2"
Node10	"Annotation Cluster 2"
Node11	"Annotation Cluster 2"
Node12	"Annotation Cluster 2"
Node13	"Annotation Cluster 2"
Node14	"Annotation Cluster 2"
Node15	"Annotation Cluster 2"
Node16	"Annotation Cluster 2"
Node17	"Annotation Cluster 2"
Node18	"Annotation Cluster 2"
Node19	"Annotation Cluster 2"
Node20	"Annotation Cluster 2"
Node21	"Annotation Cluster 2"
Node22	"Annotation Cluster 2"
Node23	"Annotation Cluster 2"
Node24	"Annotation Cluster 2"
Node25	"Annotation Cluster 2"
Node26	"Annotation Cluster 2"
Node27	"Annotation Cluster 2"
Node28	"Annotation Cluster 2"
Node29	"Annotation Cluster 2"
Node30	"Annotation Cluster 2"
Node31	"Annotation Cluster 2"
Node32	"Annotation Cluster 2"
Node33	"Annotation Cluster 2"
Node34	"Annotation Cluster 2"
Node35	"Annotation Cluster 2"
Node36	"Annotation Cluster 2"
Node37	"Annotation Cluster 2"
Node38	"Annotation Cluster 2"
Node39	"Annotation Cluster 2"
Node40	"Annotation Cluster 2"
Node41	"Annotation Cluster 3"
Node42	"Annotation Cluster 3"
Node43	"Annotation Cluster 3"
Node44	"Annotation Cluster 3"
Node45	"Annotation Cluster 4"
Node46	"Annotation Cluster 4"
Node47	"Annotation Cluster 4"
Node48	"Annotation Cluster 4"
Node49	"Annotation Cluster 4"
Node50	"Annotation Cluster 4"
Node51	"Annotation Cluster 4"
Node52	"Annotation Cluster 4"
Node53	"Annotation Cluster 4"
Node54	"Annotation Cluster 4"
Node55	"Annotation Cluster 4"
Node56	"Annotation Cluster 4"
Node57	"Annotation Cluster 4"
Node58	"Annotation Cluster 4"
Node59	"Annotation Cluster 4"
Node60	"Annotation Cluster 4"
Node61	"Annotation Cluster 4"
Node62	"Annotation Cluster 4"
Node63	"Annotation Cluster 4"
Node64	"Annotation Cluster 4"
Node65	"Annotation Cluster 4"
Node66	"Annotation Cluster 4"
Node67	"Annotation Cluster 4"
Node68	"Annotation Cluster 4"
Node69	"Annotation Cluster 4"
Node70	"Annotation Cluster 4"
Node71	"Annotation Cluster 5"
Node72	"Annotation Cluster 5"
Node73	"Annotation Cluster 5"
