sourceId	targetId
Node74	"Annotation Cluster 6"
Node75	"Annotation Cluster 6"
Node76	"Annotation Cluster 6"
Node77	"Annotation Cluster 6"
Node78	"Annotation Cluster 6"
Node79	"Annotation Cluster 7"
Node80	"Annotation Cluster 7"
Node81	"Annotation Cluster 7"
Node82	"Annotation Cluster 7"
Node83	"Annotation Cluster 8"
Node84	"Annotation Cluster 8"
Node85	"Annotation Cluster 8"
Node86	"Annotation Cluster 8"
Node87	"Annotation Cluster 9"
Node88	"Annotation Cluster 9"
Node89	"Annotation Cluster 9"
Node90	"Annotation Cluster 9"
Node91	"Annotation Cluster 9"
Node92	"Annotation Cluster 9"
Node93	"Annotation Cluster 10"
Node94	"Annotation Cluster 10"
Node95	"Annotation Cluster 10"
Node96	"Annotation Cluster 11"
Node97	"Annotation Cluster 11"
Node98	"Annotation Cluster 11"
Node99	"Annotation Cluster 11"
Node100	"Annotation Cluster 11"
Node101	"Annotation Cluster 11"
Node102	"Annotation Cluster 11"
Node103	"Annotation Cluster 11"
Node104	"Annotation Cluster 11"
Node105	"Annotation Cluster 11"
Node106	"Annotation Cluster 11"
Node107	"Annotation Cluster 11"
Node108	"Annotation Cluster 11"
Node109	"Annotation Cluster 11"
Node110	"Annotation Cluster 11"
Node111	"Annotation Cluster 11"
Node112	"Annotation Cluster 11"
Node113	"Annotation Cluster 11"
Node114	"Annotation Cluster 11"
Node115	"Annotation Cluster 11"
Node116	"Annotation Cluster 11"
Node117	"Annotation Cluster 11"
Node118	"Annotation Cluster 12"
Node119	"Annotation Cluster 12"
Node120	"Annotation Cluster 12"
Node121	"Annotation Cluster 12"
Node122	"Annotation Cluster 12"
Node123	"Annotation Cluster 12"
Node124	"Annotation Cluster 12"
Node125	"Annotation Cluster 12"
Node126	"Annotation Cluster 12"
Node127	"Annotation Cluster 13"
Node128	"Annotation Cluster 13"
Node129	"Annotation Cluster 13"
Node130	"Annotation Cluster 13"
Node131	"Annotation Cluster 13"
Node132	"Annotation Cluster 13"
Node133	"Annotation Cluster 13"
Node134	"Annotation Cluster 13"
Node135	"Annotation Cluster 13"
Node136	"Annotation Cluster 13"
Node137	"Annotation Cluster 13"
Node138	"Annotation Cluster 13"
Node139	"Annotation Cluster 13"
Node140	"Annotation Cluster 13"
Node141	"Annotation Cluster 13"
Node142	"Annotation Cluster 13"
Node143	"Annotation Cluster 13"
Node144	"Annotation Cluster 13"
Node145	"Annotation Cluster 13"
Node146	"Annotation Cluster 13"
Node147	"Annotation Cluster 13"
Node148	"Annotation Cluster 13"
Node149	"Annotation Cluster 14"
Node150	"Annotation Cluster 14"
Node151	"Annotation Cluster 14"
Node152	"Annotation Cluster 15"
Node153	"Annotation Cluster 15"
Node154	"Annotation Cluster 15"
Node155	"Annotation Cluster 15"
Node156	"Annotation Cluster 16"
Node157	"Annotation Cluster 16"
Node158	"Annotation Cluster 16"
Node159	"Annotation Cluster 16"
Node160	"Annotation Cluster 17"
Node161	"Annotation Cluster 17"
Node162	"Annotation Cluster 17"
Node163	"Annotation Cluster 17"
Node164	"Annotation Cluster 17"
Node165	"Annotation Cluster 17"
Node166	"Annotation Cluster 17"
