sourceId	targetId
Node0	"Annotation Cluster 6"
Node1	"Annotation Cluster 6"
Node2	"Annotation Cluster 6"
Node3	"Annotation Cluster 6"
Node4	"Annotation Cluster 6"
Node0	"Annotation Cluster 7"
Node1	"Annotation Cluster 7"
Node2	"Annotation Cluster 7"
Node3	"Annotation Cluster 7"
Node0	"Annotation Cluster 8"
Node1	"Annotation Cluster 8"
Node2	"Annotation Cluster 8"
Node3	"Annotation Cluster 8"
Node0	"Annotation Cluster 9"
Node1	"Annotation Cluster 9"
Node2	"Annotation Cluster 9"
Node3	"Annotation Cluster 9"
Node4	"Annotation Cluster 9"
Node5	"Annotation Cluster 9"
Node0	"Annotation Cluster 10"
Node1	"Annotation Cluster 10"
Node2	"Annotation Cluster 10"
Node0	"Annotation Cluster 11"
Node1	"Annotation Cluster 11"
Node2	"Annotation Cluster 11"
Node3	"Annotation Cluster 11"
Node4	"Annotation Cluster 11"
Node5	"Annotation Cluster 11"
Node6	"Annotation Cluster 11"
Node7	"Annotation Cluster 11"
Node8	"Annotation Cluster 11"
Node9	"Annotation Cluster 11"
Node10	"Annotation Cluster 11"
Node11	"Annotation Cluster 11"
Node12	"Annotation Cluster 11"
Node13	"Annotation Cluster 11"
Node14	"Annotation Cluster 11"
Node15	"Annotation Cluster 11"
Node16	"Annotation Cluster 11"
Node17	"Annotation Cluster 11"
Node18	"Annotation Cluster 11"
Node19	"Annotation Cluster 11"
Node20	"Annotation Cluster 11"
Node21	"Annotation Cluster 11"
Node0	"Annotation Cluster 12"
Node1	"Annotation Cluster 12"
Node2	"Annotation Cluster 12"
Node3	"Annotation Cluster 12"
Node4	"Annotation Cluster 12"
Node5	"Annotation Cluster 12"
Node6	"Annotation Cluster 12"
Node7	"Annotation Cluster 12"
Node8	"Annotation Cluster 12"
Node0	"Annotation Cluster 13"
Node1	"Annotation Cluster 13"
Node2	"Annotation Cluster 13"
Node3	"Annotation Cluster 13"
Node4	"Annotation Cluster 13"
Node5	"Annotation Cluster 13"
Node6	"Annotation Cluster 13"
Node7	"Annotation Cluster 13"
Node8	"Annotation Cluster 13"
Node9	"Annotation Cluster 13"
Node10	"Annotation Cluster 13"
Node11	"Annotation Cluster 13"
Node12	"Annotation Cluster 13"
Node13	"Annotation Cluster 13"
Node14	"Annotation Cluster 13"
Node15	"Annotation Cluster 13"
Node16	"Annotation Cluster 13"
Node17	"Annotation Cluster 13"
Node18	"Annotation Cluster 13"
Node19	"Annotation Cluster 13"
Node20	"Annotation Cluster 13"
Node21	"Annotation Cluster 13"
Node0	"Annotation Cluster 14"
Node1	"Annotation Cluster 14"
Node2	"Annotation Cluster 14"
Node0	"Annotation Cluster 15"
Node1	"Annotation Cluster 15"
Node2	"Annotation Cluster 15"
Node3	"Annotation Cluster 15"
Node0	"Annotation Cluster 16"
Node1	"Annotation Cluster 16"
Node2	"Annotation Cluster 16"
Node3	"Annotation Cluster 16"
Node0	"Annotation Cluster 17"
Node1	"Annotation Cluster 17"
Node2	"Annotation Cluster 17"
Node3	"Annotation Cluster 17"
Node4	"Annotation Cluster 17"
Node5	"Annotation Cluster 17"
Node6	"Annotation Cluster 17"
