sourceId	targetId
Node1	"Annotation Cluster 1"
Node2	"Annotation Cluster 1"
Node3	"Annotation Cluster 1"
Node4	"Annotation Cluster 1"
Node5	"Annotation Cluster 1"
Node0	"Annotation Cluster 2"
Node1	"Annotation Cluster 2"
Node2	"Annotation Cluster 2"
Node3	"Annotation Cluster 2"
Node4	"Annotation Cluster 2"
Node5	"Annotation Cluster 2"
Node6	"Annotation Cluster 2"
Node7	"Annotation Cluster 2"
Node8	"Annotation Cluster 2"
Node9	"Annotation Cluster 2"
Node10	"Annotation Cluster 2"
Node11	"Annotation Cluster 2"
Node12	"Annotation Cluster 2"
Node13	"Annotation Cluster 2"
Node14	"Annotation Cluster 2"
Node15	"Annotation Cluster 2"
Node16	"Annotation Cluster 2"
Node17	"Annotation Cluster 2"
Node18	"Annotation Cluster 2"
Node19	"Annotation Cluster 2"
Node20	"Annotation Cluster 2"
Node21	"Annotation Cluster 2"
Node22	"Annotation Cluster 2"
Node23	"Annotation Cluster 2"
Node24	"Annotation Cluster 2"
Node25	"Annotation Cluster 2"
Node26	"Annotation Cluster 2"
Node27	"Annotation Cluster 2"
Node28	"Annotation Cluster 2"
Node29	"Annotation Cluster 2"
Node30	"Annotation Cluster 2"
Node31	"Annotation Cluster 2"
Node32	"Annotation Cluster 2"
Node33	"Annotation Cluster 2"
Node34	"Annotation Cluster 2"
Node0	"Annotation Cluster 3"
Node1	"Annotation Cluster 3"
Node2	"Annotation Cluster 3"
Node3	"Annotation Cluster 3"
Node0	"Annotation Cluster 4"
Node1	"Annotation Cluster 4"
Node2	"Annotation Cluster 4"
Node3	"Annotation Cluster 4"
Node4	"Annotation Cluster 4"
Node5	"Annotation Cluster 4"
Node6	"Annotation Cluster 4"
Node7	"Annotation Cluster 4"
Node8	"Annotation Cluster 4"
Node9	"Annotation Cluster 4"
Node10	"Annotation Cluster 4"
Node11	"Annotation Cluster 4"
Node12	"Annotation Cluster 4"
Node13	"Annotation Cluster 4"
Node14	"Annotation Cluster 4"
Node15	"Annotation Cluster 4"
Node16	"Annotation Cluster 4"
Node17	"Annotation Cluster 4"
Node18	"Annotation Cluster 4"
Node19	"Annotation Cluster 4"
Node20	"Annotation Cluster 4"
Node21	"Annotation Cluster 4"
Node22	"Annotation Cluster 4"
Node23	"Annotation Cluster 4"
Node24	"Annotation Cluster 4"
Node25	"Annotation Cluster 4"
Node0	"Annotation Cluster 5"
Node1	"Annotation Cluster 5"
Node2	"Annotation Cluster 5"
