sourceId	targetId
A260	"CD38mid CD3mid platelet"
A261	"CD38mid CD3mid platelet"
A262	"CD38mid CD3mid platelet"
A263	"CD38mid CD3mid platelet"
A264	Erythrocyte
A265	Erythrocyte
A266	Erythrocyte
A267	Erythrocyte
A268	Erythrocyte
A269	Erythrocyte
A270	Erythrocyte
A271	Erythrocyte
A272	Erythrocyte
A273	Erythrocyte
A274	Erythroblast
A275	Erythroblast
A276	Erythroblast
A277	Erythroblast
A278	Erythroblast
A279	Erythroblast
A280	Erythroblast
A281	Erythroblast
A282	Erythroblast
A283	Erythroblast
A284	Erythroblast
