sourceId	targetId
Node1	"Alternative splicing"
Node2	"Cell membrane"
Node3	"Cell membrane"
Node4	"disulfide bond"
Node5	"disulfide bond"
Node6	"Disulfide bond"
Node7	"G-protein coupled receptor"
Node8	"G-protein coupled receptor"
Node9	Glycoprotein
Node10	"glycosylation site:N-linked (GlcNAc...)"
Node11	"glycosylation site:N-linked (GlcNAc...)"
Node12	"GO:0004930~G-protein coupled receptor activity"
Node13	"GO:0004930~G-protein coupled receptor activity"
Node14	GO:0005622~intracellular
Node15	GO:0005856~cytoskeleton
Node16	"GO:0005886~plasma membrane"
Node17	"GO:0005886~plasma membrane"
Node18	"GO:0005886~plasma membrane"
Node19	"GO:0005886~plasma membrane"
Node20	"GO:0007165~signal transduction"
Node21	"GO:0007165~signal transduction"
Node22	"GO:0007186~G-protein coupled receptor signaling pathway"
Node23	"GO:0007186~G-protein coupled receptor signaling pathway"
Node24	"GO:0007186~G-protein coupled receptor signaling pathway"
Node25	GO:0016020~membrane
Node26	GO:0016020~membrane
Node27	"GO:0016021~integral component of membrane"
Node28	"GO:0016021~integral component of membrane"
Node29	"GO:0042803~protein homodimerization activity"
Node30	"IPR000276:G protein-coupled receptor- rhodopsin-like"
Node31	"IPR000276:G protein-coupled receptor- rhodopsin-like"
Node32	"IPR017452:GPCR- rhodopsin-like- 7TM"
Node33	"IPR017452:GPCR- rhodopsin-like- 7TM"
Node34	Lipoprotein
Node35	Membrane
Node36	Membrane
Node37	Membrane
Node38	Membrane
Node39	Receptor
Node40	Receptor
Node41	"splice variant"
Node42	"splice variant"
Node43	"topological domain:Cytoplasmic"
Node44	"topological domain:Cytoplasmic"
Node45	"topological domain:Cytoplasmic"
Node46	"topological domain:Cytoplasmic"
Node47	"topological domain:Extracellular"
Node48	"topological domain:Extracellular"
Node49	"topological domain:Extracellular"
Node50	Transducer
Node51	Transducer
Node52	Transmembrane
Node53	Transmembrane
Node54	Transmembrane
Node55	Transmembrane
Node56	"Transmembrane helix"
Node57	"Transmembrane helix"
Node58	"Transmembrane helix"
Node59	"Transmembrane helix"
Node60	"transmembrane region"
Node61	"transmembrane region"
Node62	"transmembrane region"
